seed,target_deterministic_share,lexical_variation,paired_diff_point,paired_diff_ci_low,paired_diff_ci_high,empirical_winner,bootstrap_resamples,bootstrap_alpha,delta
31011,0.2,True,-0.12676056338028174,-0.14553990610328638,-0.10719874804381846,retrieval,2000,0.05,0.02
31012,0.2,True,-0.11308733740376964,-0.12397132997079907,-0.1027342713034245,retrieval,2000,0.05,0.02
31013,0.2,True,-0.14165186500888094,-0.15630550621669625,-0.12699822380106573,retrieval,2000,0.05,0.02
31014,0.2,True,-0.150354609929078,-0.16643026004728134,-0.13427895981087468,retrieval,2000,0.05,0.02
31015,0.2,True,-0.14033983637507874,-0.15859030837004406,-0.12271869100062927,retrieval,2000,0.05,0.02
31016,0.2,True,-0.1292984869325997,-0.14442916093535074,-0.11416781292984868,retrieval,2000,0.05,0.02
31017,0.2,True,-0.13702749140893467,-0.1516323024054983,-0.12242268041237114,retrieval,2000,0.05,0.02
31018,0.2,True,-0.12439193884642119,-0.1438498957609451,-0.10632383599722028,retrieval,2000,0.05,0.02
31019,0.2,True,-0.12268907563025211,-0.13893557422969194,-0.10700280112044813,retrieval,2000,0.05,0.02
31020,0.2,True,-0.1435185185185186,-0.16435185185185186,-0.12268518518518523,retrieval,2000,0.05,0.02
31001,0.3,False,0.004914004914004844,0.0,0.010442260442260376,tie,2000,0.05,0.02
31002,0.3,False,0.007270323859881023,0.0026437541308658163,0.012557832121612655,tie,2000,0.05,0.02
31003,0.3,False,0.002430133657351119,-0.0012150668286755595,0.0060753341433779084,tie,2000,0.05,0.02
31004,0.3,False,0.004616272360069229,0.0005770340450086398,0.009232544720138569,tie,2000,0.05,0.02
31005,0.3,False,0.009188361408882018,0.003828483920367498,0.015313935681470103,tie,2000,0.05,0.02
31006,0.3,False,0.007017543859649034,0.0029239766081871066,0.011695906432748537,tie,2000,0.05,0.02
31007,0.3,False,0.004259850905218299,0.0010649627263046302,0.007987220447284282,tie,2000,0.05,0.02
31008,0.3,False,0.0037336652146857663,-0.001244555071561959,0.009334163036714305,tie,2000,0.05,0.02
31009,0.3,False,0.003978779840848823,-0.0006631299734747298,0.008620689655172487,tie,2000,0.05,0.02
31010,0.3,False,0.004646360351058365,0.0005162622612286949,0.008776458440887924,tie,2000,0.05,0.02
31011,0.3,False,0.008679479231246123,0.004339739615623062,0.013639181649101051,tie,2000,0.05,0.02
31012,0.3,False,0.006130268199233679,0.0,0.01226053639846747,tie,2000,0.05,0.02
31013,0.3,False,0.002624671916010568,-0.0006561679790026975,0.006561679790026198,tie,2000,0.05,0.02
31014,0.3,False,-0.0005892751915144157,-0.004124926340601021,0.0029463759575720783,tie,2000,0.05,0.02
31015,0.3,False,0.0034985422740524408,-0.0005830903790088326,0.008163265306122436,tie,2000,0.05,0.02
31016,0.3,False,0.015753938484621144,0.00900225056264059,0.023255813953488413,tie,2000,0.05,0.02
31017,0.3,False,0.0037654653039268515,-0.0010758472296933386,0.008606777837547042,tie,2000,0.05,0.02
